Charging Rate,Start Window,Result,SSE,SST
18.0,1.0,0.0,94.41666666666669,47.16666666666665
18.0,1.1,0.0,94.0,39.91666666666667
18.0,1.2,0.0,93.75,37.75
18.0,1.3,0.0,91.16666666666669,40.24999999999999
18.0,1.4,0.0,90.5,34.91666666666667
18.0,1.5,0.0,89.5,35.083333333333336
18.0,1.6,0.0,81.33333333333334,41.5
18.0,1.7000000000000002,0.0,84.75,34.833333333333336
18.0,1.8,0.0,72.75,43.16666666666667
18.0,1.9,0.0,73.66666666666666,45.16666666666667
18.0,2.0,0.0,60.75,59.91666666666666
18.0,2.1,0.0,56.75,54.66666666666666
18.0,2.2,0.0,50.0,62.5
18.0,2.3,0.0,45.75,67.5
18.0,2.4000000000000004,0.0,31.75,74.25
18.0,2.5,0.0,32.0,73.75
18.0,2.6,0.0,15.75,89.0
18.0,2.7,0.0,20.0,84.25
18.0,2.8,0.0,21.0,88.0
18.0,2.9000000000000004,0.0,8.0,95.25
18.0,3.0,0.0,7.0,96.0
18.0,3.1,0.0,8.0,94.0
18.0,3.2,0.0,4.0,98.0
18.0,3.3000000000000003,0.0,1.0,99.0
18.0,3.4000000000000004,0.0,3.0,97.0
18.0,3.5,0.0,0.0,100.0
18.0,3.6,0.0,2.0,98.25
18.0,3.7,0.0,0.0,100.0
18.0,3.8000000000000003,0.0,0.0,100.0
18.0,3.9000000000000004,0.0,1.0,99.0
18.0,4.0,0.0,0.0,100.0
18.0,4.1,0.0,0.0,100.0
18.0,4.2,0.0,0.0,100.0
18.0,4.300000000000001,0.0,0.0,100.0
18.0,4.4,0.0,1.0,100.0
18.0,4.5,0.0,1.0,100.0
18.0,4.6,0.0,0.0,100.0
18.0,4.7,0.0,0.0,100.0
18.0,4.800000000000001,0.0,0.0,100.0
18.0,4.9,0.0,0.0,100.0
18.0,5.0,0.0,0.0,100.0
18.0,5.1000000000000005,1.0,0.0,99.66666666666666
18.0,5.2,2.0,0.0,99.33333333333334
18.0,5.3,11.0,0.0,93.8888888888889
18.0,5.4,18.0,0.0,89.22222222222224
18.0,5.5,26.0,0.0,85.88888888888889
18.0,5.6000000000000005,45.0,0.0,74.77777777777779
18.0,5.7,58.0,0.0,66.55555555555553
18.0,5.800000000000001,66.0,0.0,61.88888888888887
18.0,5.9,74.0,0.0,55.11111111111108
18.0,6.0,79.0,0.0,50.44444444444443
18.0,6.1000000000000005,87.0,0.0,46.222222222222214
18.0,6.2,93.0,0.0,43.55555555555555
18.0,6.300000000000001,95.0,0.0,40.444444444444414
18.0,6.4,96.0,0.0,37.33333333333329
18.0,6.5,97.0,0.0,35.555555555555515
18.0,6.6000000000000005,94.0,0.0,35.88888888888884
18.0,6.7,97.0,0.0,36.333333333333314
18.0,6.800000000000001,99.0,0.0,33.66666666666662
18.0,6.9,99.0,0.0,31.5555555555555
