Charging Rate,Start Window,Result,SSE,SST
14.0,1.0,0.0,96.66666666666669,48.33333333333332
14.0,1.1,0.0,96.00000000000004,47.6666666666667
14.0,1.2,0.0,96.33333333333334,44.6666666666667
14.0,1.3,0.0,97.33333333333331,36.333333333333336
14.0,1.4,0.0,96.0,37.58333333333333
14.0,1.5,0.0,97.0,30.249999999999982
14.0,1.6,0.0,96.66666666666666,28.916666666666657
14.0,1.7000000000000002,0.0,98.66666666666669,18.750000000000004
14.0,1.8,0.0,98.33333333333331,25.41666666666666
14.0,1.9,0.0,99.08333333333334,20.833333333333336
14.0,2.0,0.0,97.08333333333331,20.91666666666666
14.0,2.1,0.0,99.00000000000001,18.58333333333334
14.0,2.2,0.0,98.66666666666669,14.75
14.0,2.3,0.0,98.50000000000001,18.583333333333336
14.0,2.4000000000000004,0.0,99.16666666666669,15.416666666666668
14.0,2.5,0.0,97.33333333333334,15.500000000000002
14.0,2.6,0.0,99.0,12.0
14.0,2.7,0.0,96.66666666666666,13.666666666666664
14.0,2.8,0.0,98.0,16.083333333333332
14.0,2.9000000000000004,0.0,90.5,20.333333333333332
14.0,3.0,0.0,88.75,23.25
14.0,3.1,0.0,80.75,30.5
14.0,3.2,0.0,72.75,38.75
14.0,3.3000000000000003,0.0,81.5,33.833333333333336
14.0,3.4000000000000004,0.0,70.0,45.25
14.0,3.5,0.0,63.75,52.75
14.0,3.6,0.0,55.0,56.25
14.0,3.7,0.0,46.0,69.83333333333333
14.0,3.8000000000000003,0.0,49.0,59.75
14.0,3.9000000000000004,0.0,31.0,74.75
14.0,4.0,0.0,21.0,82.25
14.0,4.1,0.0,25.0,81.0
14.0,4.2,0.0,21.0,82.25
14.0,4.300000000000001,0.0,20.0,88.0
14.0,4.4,0.0,15.0,89.0
14.0,4.5,0.0,14.0,93.0
14.0,4.6,0.0,7.0,96.0
14.0,4.7,0.0,12.0,93.0
14.0,4.800000000000001,0.0,7.0,95.0
14.0,4.9,0.0,5.0,96.0
14.0,5.0,0.0,1.0,100.0
14.0,5.1000000000000005,0.0,4.0,96.11111111111111
14.0,5.2,6.0,2.0,96.22222222222223
14.0,5.3,13.0,3.0,90.11111111111111
14.0,5.4,20.0,7.0,82.8888888888889
14.0,5.5,24.0,4.0,82.88888888888889
14.0,5.6000000000000005,41.0,1.0,75.66666666666667
14.0,5.7,48.0,0.0,72.22222222222221
14.0,5.800000000000001,65.0,2.0,60.222222222222214
14.0,5.9,70.0,0.0,56.88888888888886
14.0,6.0,82.0,0.0,48.44444444444443
14.0,6.1000000000000005,85.0,0.0,49.55555555555553
14.0,6.2,85.0,0.0,47.111111111111114
14.0,6.300000000000001,93.0,0.0,43.44444444444443
14.0,6.4,92.0,0.0,42.333333333333314
14.0,6.5,96.0,0.0,37.111111111111065
14.0,6.6000000000000005,97.0,0.0,35.88888888888884
14.0,6.7,98.0,0.0,35.666666666666615
14.0,6.800000000000001,99.0,0.0,31.66666666666661
14.0,6.9,99.0,0.0,30.999999999999947
14.0,7.0,99.0,0.0,31.22222222222216
14.0,7.1000000000000005,99.0,0.0,31.444444444444397
14.0,7.2,100.0,0.0,31.444444444444404
