y_exe,x
20.8,5.4
20.3,5.5
19.900000000000002,5.6000000000000005
19.5,5.7
19.1,5.800000000000001
18.7,5.9
18.3,6.0
17.900000000000002,6.1000000000000005
17.6,6.2
17.3,6.300000000000001
16.9,6.4
16.6,6.5
16.3,6.6000000000000005
16.0,6.7
15.700000000000001,6.800000000000001
15.4,6.9
15.100000000000001,7.0
15.0,7.1000000000000005
14.600000000000001,7.2
14.3,7.300000000000001
14.100000000000001,7.4
13.9,7.5
13.700000000000001,7.6000000000000005
13.4,7.7
13.200000000000001,7.800000000000001
13.0,7.9
12.9,8.0
12.600000000000001,8.1
12.5,8.200000000000001
12.3,8.3
12.100000000000001,8.4
11.8,8.5
11.700000000000001,8.6
11.600000000000001,8.700000000000001
11.3,8.8
11.200000000000001,8.9
11.0,9.0
10.9,9.1
10.600000000000001,9.200000000000001
10.5,9.3
10.3,9.4
10.3,9.5
10.1,9.600000000000001
9.9,9.700000000000001
9.700000000000001,9.8
9.700000000000001,9.9
9.5,10.0
9.4,10.100000000000001
9.3,10.200000000000001
9.200000000000001,10.3
9.0,10.4
8.9,10.5
8.8,10.600000000000001
8.7,10.700000000000001
8.5,10.8
8.5,10.9
8.3,11.0
8.3,11.100000000000001
8.100000000000001,11.200000000000001
8.100000000000001,11.3
8.0,11.4
7.800000000000001,11.5
7.800000000000001,11.600000000000001
7.7,11.700000000000001
7.6000000000000005,11.8
7.5,11.9
7.4,12.0
7.300000000000001,12.100000000000001
7.2,12.200000000000001
7.2,12.3
7.1000000000000005,12.4
6.9,12.5
6.9,12.600000000000001
6.9,12.700000000000001
6.7,12.8
6.6000000000000005,12.9
6.6000000000000005,13.0
6.6000000000000005,13.100000000000001
6.5,13.200000000000001
6.4,13.3
6.300000000000001,13.4
6.2,13.5
6.300000000000001,13.600000000000001
6.2,13.700000000000001
6.2,13.8
6.2,13.9
6.1000000000000005,14.0
6.1000000000000005,14.100000000000001
6.1000000000000005,14.200000000000001
6.1000000000000005,14.3
6.0,14.4
6.0,14.5
6.0,14.600000000000001
6.0,14.700000000000001
6.0,14.8
6.0,14.9
5.9,15.0
6.0,15.100000000000001
5.9,15.200000000000001
6.0,15.3
6.0,15.4
5.9,15.5
5.9,15.600000000000001
5.9,15.700000000000001
5.9,15.8
6.0,15.9
5.9,16.0
6.0,16.1
6.0,16.2
5.9,16.3
5.9,16.400000000000002
5.9,16.5
5.9,16.6
5.9,16.7
5.9,16.8
6.0,16.900000000000002
6.0,17.0
6.0,17.1
6.0,17.2
6.0,17.3
5.9,17.400000000000002
6.0,17.5
5.9,17.6
6.0,17.7
6.0,17.8
6.0,17.900000000000002
6.0,18.0
6.0,18.1
5.9,18.2
5.9,18.3
6.0,18.400000000000002
5.9,18.5
5.9,18.6
6.0,18.7
5.9,18.8
5.9,18.900000000000002
6.0,19.0
6.0,19.1
6.0,19.200000000000003
5.9,19.3
5.9,19.400000000000002
6.0,19.5
6.0,19.6
6.0,19.700000000000003
6.0,19.8
5.9,19.900000000000002
