x,y_faxe
6.300000000000004,16.3
6.400000000000005,12.9
6.500000000000005,12.6
6.600000000000005,12.4
6.700000000000005,12.1
6.800000000000005,11.9
6.900000000000006,11.8
7.000000000000005,11.5
7.100000000000005,11.4
7.2000000000000055,11.3
7.300000000000006,11.2
7.400000000000006,11.0
7.500000000000005,10.9
7.600000000000006,10.8
7.700000000000006,10.7
7.800000000000006,10.7
7.900000000000006,10.6
8.000000000000007,10.4
8.100000000000007,10.4
8.200000000000006,10.2
8.300000000000006,10.1
8.400000000000006,10.1
8.500000000000007,10.0
8.600000000000007,9.9
8.700000000000006,9.7
8.800000000000008,9.8
8.900000000000007,9.6
9.000000000000007,9.6
9.100000000000007,9.5
9.200000000000006,9.4
9.300000000000008,9.4
9.400000000000007,9.3
9.500000000000007,9.1
9.600000000000009,9.1
9.700000000000008,9.0
9.800000000000008,8.9
9.900000000000007,8.9
10.000000000000007,8.8
10.100000000000009,8.7
10.200000000000008,8.7
10.300000000000008,8.7
10.40000000000001,8.6
10.500000000000009,8.5
10.600000000000009,8.4
10.700000000000008,8.4
10.800000000000008,8.4
10.90000000000001,8.2
11.000000000000009,8.2
11.100000000000009,8.1
11.20000000000001,8.0
11.30000000000001,8.1
11.40000000000001,8.0
11.500000000000009,7.9
11.600000000000009,7.9
11.70000000000001,7.9
11.80000000000001,7.8
11.90000000000001,7.7
12.00000000000001,7.7
12.10000000000001,7.6
12.20000000000001,7.5
12.30000000000001,7.6
12.40000000000001,7.5
12.50000000000001,7.4
12.60000000000001,7.4
12.70000000000001,7.4
12.800000000000011,7.3
12.900000000000011,7.3
13.00000000000001,7.2
13.10000000000001,7.2
13.20000000000001,7.1
13.300000000000011,7.0
13.400000000000011,7.0
13.50000000000001,7.0
13.600000000000012,7.0
13.700000000000012,6.9
13.800000000000011,6.8
13.900000000000011,6.9
14.00000000000001,6.9
14.100000000000012,6.8
14.200000000000012,6.7
14.300000000000011,6.7
14.400000000000013,6.6
14.500000000000012,6.6
14.600000000000012,6.6
14.700000000000012,6.6
14.800000000000011,6.5
14.900000000000013,6.5
15.000000000000012,6.5
15.100000000000012,6.4
15.200000000000014,6.4
15.300000000000013,6.3
15.400000000000013,6.3
15.500000000000012,6.3
15.600000000000012,6.2
15.700000000000014,6.2
15.800000000000013,6.2
15.900000000000013,6.1
16.000000000000014,6.1
16.100000000000016,6.1
16.200000000000014,6.0
16.30000000000001,6.0
16.400000000000013,6.0
16.500000000000014,6.0
16.600000000000016,5.9
16.700000000000014,5.9
16.800000000000015,5.9
16.900000000000013,5.8
17.000000000000014,5.8
17.100000000000016,5.8
17.200000000000014,5.8
17.300000000000015,5.7
17.400000000000013,5.7
17.500000000000014,5.7
17.600000000000016,5.6
17.700000000000014,5.6
17.800000000000015,5.6
17.900000000000016,5.6
18.000000000000014,5.6
18.100000000000016,5.5
18.200000000000017,5.5
18.300000000000015,5.5
18.400000000000016,5.4
18.500000000000014,5.4
18.600000000000016,5.4
18.700000000000017,5.4
18.800000000000015,5.3
18.900000000000016,5.3
19.000000000000014,5.3
19.100000000000016,5.3
19.200000000000017,5.2
19.300000000000015,5.2
19.400000000000016,5.2
19.500000000000018,5.2
19.600000000000016,5.2
19.700000000000017,5.1
19.80000000000002,5.1
19.900000000000016,5.1
20.000000000000018,5.1
20.100000000000016,5.0
20.200000000000017,5.0
20.30000000000002,5.0
20.400000000000016,5.0
20.500000000000018,5.0
20.600000000000016,5.0
20.700000000000017,4.9
20.80000000000002,4.9
20.900000000000016,4.9
