x,y_faxe,y_exe
5.300000000000001,18.2,21.0
5.4,17.8,20.5
5.5,17.5,20.1
5.6000000000000005,17.1,19.6
5.7,16.700000000000003,19.2
5.800000000000001,16.4,18.8
5.9,16.0,18.400000000000002
6.0,15.600000000000001,18.0
6.1000000000000005,15.4,17.7
6.2,15.0,17.3
6.300000000000001,14.700000000000001,17.0
6.4,14.4,16.700000000000003
6.5,14.200000000000001,16.3
6.6000000000000005,13.9,16.0
6.7,13.600000000000001,15.600000000000001
6.800000000000001,13.4,15.5
6.9,13.100000000000001,15.100000000000001
7.0,12.9,14.9
7.1000000000000005,12.700000000000001,14.600000000000001
7.2,12.4,14.4
7.300000000000001,12.200000000000001,14.0
7.4,12.0,13.8
7.5,11.700000000000001,13.600000000000001
7.6000000000000005,11.5,13.4
7.7,11.4,13.200000000000001
7.800000000000001,11.100000000000001,12.9
7.9,10.9,12.700000000000001
8.0,10.700000000000001,12.5
8.1,10.700000000000001,12.3
8.200000000000001,10.4,12.100000000000001
8.3,10.200000000000001,11.9
8.4,10.1,11.600000000000001
8.5,9.9,11.5
8.6,9.8,11.3
8.700000000000001,9.6,11.200000000000001
8.8,9.5,11.100000000000001
8.9,9.4,10.9
9.0,9.1,10.700000000000001
9.1,9.1,10.5
9.200000000000001,8.9,10.3
9.3,8.8,10.3
9.4,8.600000000000001,10.1
9.5,8.5,9.9
9.600000000000001,8.4,9.700000000000001
9.700000000000001,8.3,9.700000000000001
9.8,8.100000000000001,9.5
9.9,8.0,9.4
10.0,8.0,9.3
10.100000000000001,7.800000000000001,9.1
10.200000000000001,7.7,9.0
10.3,7.6000000000000005,8.8
10.4,7.4,8.7
10.5,7.4,8.7
10.600000000000001,7.4,8.5
10.700000000000001,7.2,8.4
10.8,7.0,8.2
10.9,7.0,8.100000000000001
11.0,6.9,8.100000000000001
11.100000000000001,6.800000000000001,7.9
11.200000000000001,6.7,7.9
11.3,6.7,7.800000000000001
11.4,6.6000000000000005,7.7
11.5,6.6000000000000005,7.5
11.600000000000001,6.5,7.5
11.700000000000001,6.4,7.4
11.8,6.4,7.300000000000001
11.9,6.300000000000001,7.1000000000000005
12.0,6.300000000000001,7.1000000000000005
12.100000000000001,6.300000000000001,7.0
12.200000000000001,6.2,6.9
12.3,6.2,6.9
12.4,6.2,6.7
12.5,6.1000000000000005,6.7
12.600000000000001,6.2,6.6000000000000005
12.700000000000001,6.2,6.5
12.8,6.1000000000000005,6.5
12.9,6.1000000000000005,6.4
13.0,6.1000000000000005,6.300000000000001
13.100000000000001,6.1000000000000005,6.300000000000001
13.200000000000001,6.1000000000000005,6.2
13.3,6.1000000000000005,6.2
13.4,6.1000000000000005,6.1000000000000005
13.5,6.0,6.1000000000000005
13.600000000000001,6.0,6.0
13.700000000000001,6.1000000000000005,6.1000000000000005
13.8,6.1000000000000005,6.0
13.9,6.1000000000000005,6.0
14.0,6.1000000000000005,6.0
14.100000000000001,6.0,5.9
14.200000000000001,6.1000000000000005,5.9
14.3,6.1000000000000005,5.9
14.4,6.1000000000000005,5.9
14.5,6.0,5.9
14.600000000000001,6.1000000000000005,5.800000000000001
14.700000000000001,6.0,5.800000000000001
14.8,6.0,5.9
14.9,6.0,5.800000000000001
15.0,6.0,5.800000000000001
15.100000000000001,6.0,5.800000000000001
15.200000000000001,6.1000000000000005,5.800000000000001
15.3,6.0,5.800000000000001
15.4,6.1000000000000005,5.800000000000001
15.5,6.0,5.800000000000001
15.600000000000001,6.0,5.800000000000001
15.700000000000001,6.1000000000000005,5.800000000000001
15.8,6.1000000000000005,5.800000000000001
15.9,6.1000000000000005,5.9
16.0,6.1000000000000005,5.800000000000001
16.1,6.1000000000000005,5.800000000000001
16.2,6.0,5.800000000000001
16.3,6.0,5.800000000000001
16.400000000000002,6.0,5.800000000000001
16.5,6.1000000000000005,5.800000000000001
16.6,6.1000000000000005,5.800000000000001
16.7,6.0,5.9
16.8,6.1000000000000005,5.800000000000001
16.900000000000002,6.1000000000000005,5.800000000000001
17.0,6.1000000000000005,5.800000000000001
17.1,6.1000000000000005,5.800000000000001
17.2,6.1000000000000005,5.9
17.3,6.1000000000000005,5.800000000000001
17.400000000000002,6.1000000000000005,5.800000000000001
17.5,6.1000000000000005,5.800000000000001
17.6,6.1000000000000005,5.800000000000001
17.7,6.0,5.800000000000001
17.8,6.0,5.800000000000001
17.900000000000002,6.0,5.800000000000001
18.0,6.1000000000000005,5.800000000000001
18.1,6.1000000000000005,5.800000000000001
18.2,6.0,5.800000000000001
18.3,6.0,5.800000000000001
18.400000000000002,6.0,5.9
18.5,6.0,5.800000000000001
18.6,6.1000000000000005,5.800000000000001
18.7,6.0,5.800000000000001
18.8,6.1000000000000005,5.800000000000001
18.900000000000002,6.1000000000000005,5.800000000000001
19.0,6.1000000000000005,5.800000000000001
19.1,6.0,5.800000000000001
19.200000000000003,6.1000000000000005,5.800000000000001
19.3,6.0,5.800000000000001
19.400000000000002,6.0,5.800000000000001
19.5,6.0,5.800000000000001
19.6,6.0,5.800000000000001
19.700000000000003,6.1000000000000005,5.800000000000001
19.8,6.1000000000000005,5.800000000000001
19.900000000000002,6.1000000000000005,5.800000000000001
