y_exe,x
21.0,5.300000000000001
20.5,5.4
20.1,5.5
19.6,5.6000000000000005
19.2,5.7
18.8,5.800000000000001
18.400000000000002,5.9
18.0,6.0
17.7,6.1000000000000005
17.3,6.2
17.0,6.300000000000001
16.700000000000003,6.4
16.3,6.5
16.0,6.6000000000000005
15.600000000000001,6.7
15.5,6.800000000000001
15.100000000000001,6.9
14.9,7.0
14.600000000000001,7.1000000000000005
14.4,7.2
14.0,7.300000000000001
13.8,7.4
13.600000000000001,7.5
13.4,7.6000000000000005
13.200000000000001,7.7
12.9,7.800000000000001
12.700000000000001,7.9
12.5,8.0
12.3,8.1
12.100000000000001,8.200000000000001
11.9,8.3
11.600000000000001,8.4
11.5,8.5
11.3,8.6
11.200000000000001,8.700000000000001
11.100000000000001,8.8
10.9,8.9
10.700000000000001,9.0
10.5,9.1
10.3,9.200000000000001
10.3,9.3
10.1,9.4
9.9,9.5
9.700000000000001,9.600000000000001
9.700000000000001,9.700000000000001
9.5,9.8
9.4,9.9
9.3,10.0
9.1,10.100000000000001
9.0,10.200000000000001
8.8,10.3
8.7,10.4
8.7,10.5
8.5,10.600000000000001
8.4,10.700000000000001
8.2,10.8
8.100000000000001,10.9
8.100000000000001,11.0
7.9,11.100000000000001
7.9,11.200000000000001
7.800000000000001,11.3
7.7,11.4
7.5,11.5
7.5,11.600000000000001
7.4,11.700000000000001
7.300000000000001,11.8
7.1000000000000005,11.9
7.1000000000000005,12.0
7.0,12.100000000000001
6.9,12.200000000000001
6.9,12.3
6.7,12.4
6.7,12.5
6.6000000000000005,12.600000000000001
6.5,12.700000000000001
6.5,12.8
6.4,12.9
6.300000000000001,13.0
6.300000000000001,13.100000000000001
6.2,13.200000000000001
6.2,13.3
6.1000000000000005,13.4
6.1000000000000005,13.5
6.0,13.600000000000001
6.1000000000000005,13.700000000000001
6.0,13.8
6.0,13.9
6.0,14.0
5.9,14.100000000000001
5.9,14.200000000000001
5.9,14.3
5.9,14.4
5.9,14.5
5.800000000000001,14.600000000000001
5.800000000000001,14.700000000000001
5.9,14.8
5.800000000000001,14.9
5.800000000000001,15.0
5.800000000000001,15.100000000000001
5.800000000000001,15.200000000000001
5.800000000000001,15.3
5.800000000000001,15.4
5.800000000000001,15.5
5.800000000000001,15.600000000000001
5.800000000000001,15.700000000000001
5.800000000000001,15.8
5.9,15.9
5.800000000000001,16.0
5.800000000000001,16.1
5.800000000000001,16.2
5.800000000000001,16.3
5.800000000000001,16.400000000000002
5.800000000000001,16.5
5.800000000000001,16.6
5.9,16.7
5.800000000000001,16.8
5.800000000000001,16.900000000000002
5.800000000000001,17.0
5.800000000000001,17.1
5.9,17.2
5.800000000000001,17.3
5.800000000000001,17.400000000000002
5.800000000000001,17.5
5.800000000000001,17.6
5.800000000000001,17.7
5.800000000000001,17.8
5.800000000000001,17.900000000000002
5.800000000000001,18.0
5.800000000000001,18.1
5.800000000000001,18.2
5.800000000000001,18.3
5.9,18.400000000000002
5.800000000000001,18.5
5.800000000000001,18.6
5.800000000000001,18.7
5.800000000000001,18.8
5.800000000000001,18.900000000000002
5.800000000000001,19.0
5.800000000000001,19.1
5.800000000000001,19.200000000000003
5.800000000000001,19.3
5.800000000000001,19.400000000000002
5.800000000000001,19.5
5.800000000000001,19.6
5.800000000000001,19.700000000000003
5.800000000000001,19.8
5.800000000000001,19.900000000000002
