x,exe
6.300000000000004,17.5
6.400000000000005,16.3
6.500000000000005,15.2
6.600000000000005,14.1
6.700000000000005,14.7
6.800000000000005,14.1
6.900000000000006,14.5
7.000000000000005,13.7
7.100000000000005,13.9
7.2000000000000055,13.6
7.300000000000006,13.7
7.400000000000006,13.3
7.500000000000005,13.4
7.600000000000006,12.9
7.700000000000006,12.9
7.800000000000006,12.9
7.900000000000006,12.9
8.000000000000007,12.4
8.100000000000007,12.4
8.200000000000006,12.4
8.300000000000006,12.4
8.400000000000006,12.2
8.500000000000007,12.1
8.600000000000007,11.7
8.700000000000006,11.8
8.800000000000008,11.8
8.900000000000007,11.3
9.000000000000007,11.6
9.100000000000007,11.3
9.200000000000006,11.5
9.300000000000008,11.0
9.400000000000007,11.1
9.500000000000007,11.0
9.600000000000009,10.9
9.700000000000008,10.8
9.800000000000008,10.7
9.900000000000007,10.9
10.000000000000007,10.7
10.100000000000009,10.7
10.200000000000008,10.4
10.300000000000008,10.3
10.40000000000001,10.4
10.500000000000009,10.2
10.600000000000009,10.1
10.700000000000008,10.0
10.800000000000008,10.0
10.90000000000001,10.0
11.000000000000009,9.9
11.100000000000009,10.0
11.20000000000001,9.7
11.30000000000001,9.4
11.40000000000001,9.6
11.500000000000009,9.5
11.600000000000009,9.3
11.70000000000001,9.5
11.80000000000001,9.0
11.90000000000001,9.4
12.00000000000001,9.2
12.10000000000001,9.2
12.20000000000001,9.0
12.30000000000001,8.8
12.40000000000001,9.0
12.50000000000001,8.9
12.60000000000001,9.0
12.70000000000001,8.7
12.800000000000011,8.5
12.900000000000011,8.4
13.00000000000001,8.5
13.10000000000001,8.4
13.20000000000001,8.5
13.300000000000011,8.4
13.400000000000011,8.4
13.50000000000001,8.2
13.600000000000012,8.2
13.700000000000012,8.3
13.800000000000011,8.0
13.900000000000011,8.2
14.00000000000001,8.0
14.100000000000012,8.0
14.200000000000012,8.0
14.300000000000011,7.9
14.400000000000013,7.9
14.500000000000012,7.9
14.600000000000012,7.8
14.700000000000012,7.7
14.800000000000011,7.6
14.900000000000013,7.7
15.000000000000012,7.6
15.100000000000012,7.6
15.200000000000014,7.6
15.300000000000013,7.6
15.400000000000013,7.5
15.500000000000012,7.6
15.600000000000012,7.4
15.700000000000014,7.4
15.800000000000013,7.3
15.900000000000013,7.2
16.000000000000014,7.2
16.100000000000016,7.2
16.200000000000014,7.2
16.30000000000001,7.0
16.400000000000013,7.0
16.500000000000014,7.2
16.600000000000016,7.1
16.700000000000014,7.0
16.800000000000015,6.9
16.900000000000013,6.9
17.000000000000014,6.8
17.100000000000016,6.8
17.200000000000014,6.7
17.300000000000015,6.8
17.400000000000013,6.7
17.500000000000014,6.8
17.600000000000016,6.5
17.700000000000014,6.6
17.800000000000015,6.5
17.900000000000016,6.4
18.000000000000014,6.6
18.100000000000016,6.5
18.200000000000017,6.5
18.300000000000015,6.4
18.400000000000016,6.4
18.500000000000014,6.3
18.600000000000016,6.4
18.700000000000017,6.3
18.800000000000015,6.2
18.900000000000016,6.3
19.000000000000014,6.2
19.100000000000016,6.2
19.200000000000017,6.1
19.300000000000015,6.1
19.400000000000016,6.2
19.500000000000018,6.2
19.600000000000016,6.0
19.700000000000017,6.0
19.80000000000002,6.1
19.900000000000016,5.9
20.000000000000018,5.9
20.100000000000016,6.0
20.200000000000017,6.0
20.30000000000002,5.9
20.400000000000016,5.8
20.500000000000018,5.8
20.600000000000016,5.8
20.700000000000017,5.8
20.80000000000002,5.7
20.900000000000016,5.8
