y_faxe,x
20.6,4.800000000000001
20.1,4.9
19.6,5.0
19.2,5.1000000000000005
18.7,5.2
18.2,5.300000000000001
17.8,5.4
17.5,5.5
17.1,5.6000000000000005
16.700000000000003,5.7
16.4,5.800000000000001
16.0,5.9
15.600000000000001,6.0
15.4,6.1000000000000005
15.0,6.2
14.700000000000001,6.300000000000001
14.4,6.4
14.200000000000001,6.5
13.9,6.6000000000000005
13.600000000000001,6.7
13.4,6.800000000000001
13.100000000000001,6.9
12.9,7.0
12.700000000000001,7.1000000000000005
12.4,7.2
12.200000000000001,7.300000000000001
12.0,7.4
11.700000000000001,7.5
11.5,7.6000000000000005
11.4,7.7
11.100000000000001,7.800000000000001
10.9,7.9
10.700000000000001,8.0
10.700000000000001,8.1
10.4,8.200000000000001
10.200000000000001,8.3
10.1,8.4
9.9,8.5
9.8,8.6
9.6,8.700000000000001
9.5,8.8
9.4,8.9
9.1,9.0
9.1,9.1
8.9,9.200000000000001
8.8,9.3
8.600000000000001,9.4
8.5,9.5
8.4,9.600000000000001
8.3,9.700000000000001
8.100000000000001,9.8
8.0,9.9
8.0,10.0
7.800000000000001,10.100000000000001
7.7,10.200000000000001
7.6000000000000005,10.3
7.4,10.4
7.4,10.5
7.4,10.600000000000001
7.2,10.700000000000001
7.0,10.8
7.0,10.9
6.9,11.0
6.800000000000001,11.100000000000001
6.7,11.200000000000001
6.7,11.3
6.6000000000000005,11.4
6.6000000000000005,11.5
6.5,11.600000000000001
6.4,11.700000000000001
6.4,11.8
6.300000000000001,11.9
6.300000000000001,12.0
6.300000000000001,12.100000000000001
6.2,12.200000000000001
6.2,12.3
6.2,12.4
6.1000000000000005,12.5
6.2,12.600000000000001
6.2,12.700000000000001
6.1000000000000005,12.8
6.1000000000000005,12.9
6.1000000000000005,13.0
6.1000000000000005,13.100000000000001
6.1000000000000005,13.200000000000001
6.1000000000000005,13.3
6.1000000000000005,13.4
6.0,13.5
6.0,13.600000000000001
6.1000000000000005,13.700000000000001
6.1000000000000005,13.8
6.1000000000000005,13.9
6.1000000000000005,14.0
6.0,14.100000000000001
6.1000000000000005,14.200000000000001
6.1000000000000005,14.3
6.1000000000000005,14.4
6.0,14.5
6.1000000000000005,14.600000000000001
6.0,14.700000000000001
6.0,14.8
6.0,14.9
6.0,15.0
6.0,15.100000000000001
6.1000000000000005,15.200000000000001
6.0,15.3
6.1000000000000005,15.4
6.0,15.5
6.0,15.600000000000001
6.1000000000000005,15.700000000000001
6.1000000000000005,15.8
6.1000000000000005,15.9
6.1000000000000005,16.0
6.1000000000000005,16.1
6.0,16.2
6.0,16.3
6.0,16.400000000000002
6.1000000000000005,16.5
6.1000000000000005,16.6
6.0,16.7
6.1000000000000005,16.8
6.1000000000000005,16.900000000000002
6.1000000000000005,17.0
6.1000000000000005,17.1
6.1000000000000005,17.2
6.1000000000000005,17.3
6.1000000000000005,17.400000000000002
6.1000000000000005,17.5
6.1000000000000005,17.6
6.0,17.7
6.0,17.8
6.0,17.900000000000002
6.1000000000000005,18.0
6.1000000000000005,18.1
6.0,18.2
6.0,18.3
6.0,18.400000000000002
6.0,18.5
6.1000000000000005,18.6
6.0,18.7
6.1000000000000005,18.8
6.1000000000000005,18.900000000000002
6.1000000000000005,19.0
6.0,19.1
6.1000000000000005,19.200000000000003
6.0,19.3
6.0,19.400000000000002
6.0,19.5
6.0,19.6
6.1000000000000005,19.700000000000003
6.1000000000000005,19.8
6.1000000000000005,19.900000000000002
