Charging Rate,Start Window,Result,SSE,SST
30.0,1.0,0.0,33.51111111111112,87.66666666666666
30.0,1.1,0.0,31.31111111111111,88.34444444444439
30.0,1.2,0.0,25.53333333333333,88.6833333333333
30.0,1.3,0.0,25.911111111111108,88.80555555555554
30.0,1.4,0.0,20.62222222222222,89.79444444444441
30.0,1.5,0.0,22.2,88.7111111111111
30.0,1.6,0.0,16.977777777777774,90.77222222222224
30.0,1.7000000000000002,0.0,12.51111111111111,93.2833333333333
30.0,1.8,0.0,12.35555555555555,92.13333333333333
30.0,1.9,0.0,6.7555555555555555,95.93888888888888
30.0,2.0,0.0,6.377777777777778,95.88333333333333
30.0,2.1,0.0,5.68888888888889,96.14444444444445
30.0,2.2,0.0,2.666666666666667,98.1
30.0,2.3,0.0,1.488888888888889,99.03888888888888
30.0,2.4000000000000004,0.0,1.0,99.33333333333334
30.0,2.5,0.0,0.2,99.86666666666667
30.0,2.6,0.0,0.5333333333333332,99.55555555555554
30.0,2.7,0.0,0.0,100.0
30.0,2.8,0.0,0.0,100.0
30.0,2.9000000000000004,0.0,0.0,100.0
30.0,3.0,0.0,0.0,100.0
30.0,3.1,0.0,0.0,100.0
30.0,3.2,0.0,0.0,100.0
30.0,3.3000000000000003,0.0,0.0,100.0
30.0,3.4000000000000004,0.0,0.0,100.0
30.0,3.5,0.2,0.0,99.91111111111111
30.0,3.6,0.0,0.0,100.0
30.0,3.7,0.4,0.0,99.82222222222222
30.0,3.8000000000000003,1.2,0.0,99.28888888888889
30.0,3.9000000000000004,1.8,0.0,99.1111111111111
30.0,4.0,3.6,0.0,98.37777777777781
30.0,4.1,3.8,0.0,97.88888888888889
30.0,4.2,2.2,0.0,98.93333333333332
30.0,4.300000000000001,4.0,0.0,97.84444444444445
30.0,4.4,5.8,0.0,97.3333333333333
30.0,4.5,8.2,0.0,95.8222222222222
30.0,4.6,10.6,0.0,94.84444444444443
30.0,4.7,14.2,0.0,92.5777777777778
30.0,4.800000000000001,17.4,0.0,91.46666666666665
30.0,4.9,33.2,0.0,83.77777777777783
30.0,5.0,36.0,0.0,81.4666666666666
30.0,5.1000000000000005,31.4,0.0,84.80000000000003
30.0,5.2,32.4,0.0,84.20000000000003
30.0,5.3,39.2,0.0,80.08888888888892
30.0,5.4,42.4,0.0,77.7555555555556
30.0,5.5,58.4,0.0,70.64444444444456
30.0,5.6000000000000005,64.2,0.0,68.20000000000007
30.0,5.7,75.0,0.0,59.9777777777779
30.0,5.800000000000001,82.4,0.0,55.7777777777779
30.0,5.9,88.2,0.0,50.777777777777914
30.0,6.0,96.4,0.0,47.53333333333346
30.0,6.1000000000000005,96.8,0.0,44.80000000000017
30.0,6.2,98.2,0.0,42.53333333333351
30.0,6.300000000000001,99.6,0.0,40.04444444444463
30.0,6.4,99.8,0.0,39.35555555555577
30.0,6.5,100.0,0.0,39.288888888889076
30.0,6.6000000000000005,99.8,0.0,38.24444444444461
30.0,6.7,100.0,0.0,37.911111111111246
30.0,6.800000000000001,100.0,0.0,36.444444444444635
30.0,6.9,100.0,0.0,36.95555555555572
30.0,7.0,100.0,0.0,36.444444444444656
30.0,7.1000000000000005,100.0,0.0,35.066666666666826
30.0,7.2,100.0,0.0,35.88888888888905
30.0,7.300000000000001,100.0,0.0,34.53333333333351
30.0,7.4,100.0,0.0,34.11111111111129
30.0,7.5,100.0,0.0,33.844444444444584
30.0,7.6000000000000005,100.0,0.0,31.311111111111245
30.0,7.7,100.0,0.0,30.91111111111122
30.0,7.800000000000001,100,0,0
30.0,7.9,100,0,0
30.0,8.0,100,0,0
30.0,8.100000000000001,100,0,0
30.0,8.2,100,0,0
30.0,8.3,100,0,0
30.0,8.4,100,0,0
30.0,8.5,100,0,0
30.0,8.600000000000001,100,0,0
30.0,8.7,100,0,0
30.0,8.8,100,0,0
30.0,8.9,100,0,0
30.0,9.0,100,0,0
30.0,9.1,100,0,0
30.0,9.200000000000001,100,0,0
30.0,9.3,100,0,0
30.0,9.4,100,0,0
30.0,9.5,100,0,0
30.0,9.6,100,0,0
30.0,9.700000000000001,100,0,0
30.0,9.8,100,0,0
30.0,9.9,100,0,0
30.0,10.0,100,0,0
30.0,10.1,100,0,0
30.0,10.200000000000001,100,0,0
30.0,10.3,100,0,0
30.0,10.4,100,0,0
30.0,10.5,100,0,0
30.0,10.600000000000001,100,0,0
30.0,10.700000000000001,100,0,0
30.0,10.8,100,0,0
30.0,10.9,100,0,0
30.0,11.0,100,0,0
30.0,11.100000000000001,100,0,0
30.0,11.200000000000001,100,0,0
30.0,11.3,100,0,0
30.0,11.4,100,0,0
30.0,11.5,100,0,0
30.0,11.600000000000001,100,0,0
30.0,11.700000000000001,100,0,0
30.0,11.8,100,0,0
30.0,11.9,100,0,0
30.0,12.0,100,0,0
30.0,12.100000000000001,100,0,0
30.0,12.200000000000001,100,0,0
30.0,12.3,100,0,0
30.0,12.4,100,0,0
30.0,12.5,100,0,0
30.0,12.600000000000001,100,0,0
30.0,12.700000000000001,100,0,0
30.0,12.8,100,0,0
30.0,12.9,100,0,0
30.0,13.0,100,0,0
30.0,13.100000000000001,100,0,0
30.0,13.200000000000001,100,0,0
30.0,13.3,100,0,0
30.0,13.4,100,0,0
30.0,13.5,100,0,0
30.0,13.600000000000001,100,0,0
30.0,13.700000000000001,100,0,0
30.0,13.8,100,0,0
30.0,13.9,100,0,0
30.0,14.0,100,0,0
30.0,14.100000000000001,100,0,0
30.0,14.200000000000001,100,0,0
30.0,14.3,100,0,0
30.0,14.4,100,0,0
30.0,14.5,100,0,0
30.0,14.600000000000001,100,0,0
30.0,14.700000000000001,100,0,0
30.0,14.8,100,0,0
30.0,14.9,100,0,0
30.0,15.0,100,0,0
30.0,15.100000000000001,100,0,0
30.0,15.200000000000001,100,0,0
30.0,15.3,100,0,0
30.0,15.4,100,0,0
30.0,15.5,100,0,0
30.0,15.600000000000001,100,0,0
30.0,15.700000000000001,100,0,0
30.0,15.8,100,0,0
30.0,15.9,100,0,0
30.0,16.0,100,0,0
30.0,16.1,100,0,0
30.0,16.200000000000003,100,0,0
30.0,16.3,100,0,0
30.0,16.4,100,0,0
30.0,16.5,100,0,0
30.0,16.6,100,0,0
30.0,16.700000000000003,100,0,0
30.0,16.8,100,0,0
30.0,16.9,100,0,0
30.0,17.0,100,0,0
30.0,17.1,100,0,0
30.0,17.2,100,0,0
30.0,17.3,100,0,0
30.0,17.400000000000002,100,0,0
30.0,17.5,100,0,0
30.0,17.6,100,0,0
30.0,17.7,100,0,0
30.0,17.8,100,0,0
30.0,17.900000000000002,100,0,0
30.0,18.0,100,0,0
30.0,18.1,100,0,0
30.0,18.2,100,0,0
30.0,18.3,100,0,0
30.0,18.400000000000002,100,0,0
30.0,18.5,100,0,0
30.0,18.6,100,0,0
30.0,18.7,100,0,0
30.0,18.8,100,0,0
30.0,18.900000000000002,100,0,0
30.0,19.0,100,0,0
30.0,19.1,100,0,0
30.0,19.2,100,0,0
30.0,19.3,100,0,0
30.0,19.400000000000002,100,0,0
30.0,19.5,100,0,0
30.0,19.6,100,0,0
30.0,19.7,100,0,0
30.0,19.8,100,0,0
30.0,19.900000000000002,100,0,0
30.0,20.0,100,0,0
30.0,20.1,100,0,0
30.0,20.200000000000003,100,0,0
30.0,20.3,100,0,0
30.0,20.400000000000002,100,0,0
30.0,20.5,100,0,0
30.0,20.6,100,0,0
30.0,20.700000000000003,100,0,0
30.0,20.8,100,0,0
30.0,20.900000000000002,100,0,0
30.0,21.0,100,0,0
30.0,21.1,100,0,0
30.0,21.200000000000003,100,0,0
30.0,21.3,100,0,0
30.0,21.400000000000002,100,0,0
30.0,21.5,100,0,0
30.0,21.6,100,0,0
30.0,21.700000000000003,100,0,0
30.0,21.8,100,0,0
30.0,21.900000000000002,100,0,0
30.0,22.0,100,0,0
30.0,22.1,100,0,0
30.0,22.200000000000003,100,0,0
30.0,22.3,100,0,0
30.0,22.400000000000002,100,0,0
30.0,22.5,100,0,0
30.0,22.6,100,0,0
30.0,22.700000000000003,100,0,0
30.0,22.8,100,0,0
30.0,22.900000000000002,100,0,0
30.0,23.0,100,0,0
30.0,23.1,100,0,0
30.0,23.200000000000003,100,0,0
30.0,23.3,100,0,0
30.0,23.400000000000002,100,0,0
30.0,23.5,100,0,0
30.0,23.6,100,0,0
30.0,23.700000000000003,100,0,0
30.0,23.8,100,0,0
30.0,23.900000000000002,100,0,0
30.0,24.0,100,0,0
30.0,24.1,100,0,0
30.0,24.200000000000003,100,0,0
30.0,24.3,100,0,0
30.0,24.400000000000002,100,0,0
30.0,24.5,100,0,0
30.0,24.6,100,0,0
30.0,24.700000000000003,100,0,0
30.0,24.8,100,0,0
30.0,24.900000000000002,100,0,0
30.0,25.0,100,0,0
30.0,25.1,100,0,0
30.0,25.200000000000003,100,0,0
30.0,25.3,100,0,0
